PlateVal,Include,Color,Pos,Name,Cp,Pos_Tm,Tm1,Tm2
411,TRUE,255,A1,Sample 1,25.31,A1,82.05,
411,TRUE,65280,A2,Sample 2,,A2,,
411,TRUE,255,A3,Sample 3,32.2,A3,81.96,
411,TRUE,65280,A4,Sample 4,,A4,,
411,TRUE,255,A5,Sample 5,26.67,A5,81.98,
411,TRUE,65280,A6,Sample 6,,A6,,
411,TRUE,65280,A7,Sample 7,,A7,,
411,TRUE,255,A8,Sample 8,40,A8,78.87,
411,TRUE,65280,A9,Sample 9,,A9,,
411,TRUE,65280,A10,Sample 10,,A10,74.96,
411,TRUE,65280,A11,Sample 11,,A11,73.76,
411,TRUE,65280,A12,Sample 12,,A12,,
411,TRUE,255,B1,Sample 13,28.8,B1,81.87,
411,TRUE,255,B2,Sample 14,28.8,B2,81.93,
411,TRUE,255,B3,Sample 15,34.76,B3,78.78,82.07
411,TRUE,255,B4,Sample 16,40,B4,76.61,
411,TRUE,255,B5,Sample 17,30.22,B5,81.88,
411,TRUE,255,B6,Sample 18,29.91,B6,81.87,
411,TRUE,65280,B7,Sample 19,,B7,,
411,TRUE,65280,B8,Sample 20,,B8,,
411,TRUE,65280,B9,Sample 21,,B9,,
411,TRUE,65280,B10,Sample 22,,B10,,
411,TRUE,65280,B11,Sample 23,,B11,,
411,TRUE,65280,B12,Sample 24,,B12,,
411,TRUE,255,C1,Sample 25,31.68,C1,81.85,
411,TRUE,255,C2,Sample 26,32.36,C2,81.92,
411,TRUE,65280,C3,Sample 27,,C3,,
411,TRUE,255,C4,Sample 28,40,C4,82.12,86.47
411,TRUE,255,C5,Sample 29,33.47,C5,81.92,
411,TRUE,255,C6,Sample 30,34.79,C6,81.87,
411,TRUE,65280,C7,Sample 31,,C7,,
411,TRUE,65280,C8,Sample 32,,C8,,
411,TRUE,65280,C9,Sample 33,,C9,,
411,TRUE,65280,C10,Sample 34,,C10,,
411,TRUE,65280,C11,Sample 35,,C11,,
411,TRUE,65280,C12,Sample 36,,C12,,
411,TRUE,65280,D1,Sample 37,,D1,,
411,TRUE,255,D2,Sample 38,35.15,D2,81.98,
411,TRUE,65280,D3,Sample 39,,D3,,
411,TRUE,65280,D4,Sample 40,,D4,,
411,TRUE,255,D5,Sample 41,36.23,D5,81.97,
411,TRUE,65280,D6,Sample 42,,D6,,
411,TRUE,65280,D7,Sample 43,,D7,,
411,TRUE,65280,D8,Sample 44,,D8,,
411,TRUE,65280,D9,Sample 45,,D9,,
411,TRUE,65280,D10,Sample 46,,D10,,
411,TRUE,65280,D11,Sample 47,,D11,,
411,TRUE,65280,D12,Sample 48,,D12,,
411,TRUE,65280,E1,Sample 49,,E1,,
411,TRUE,65280,E2,Sample 50,,E2,,
411,TRUE,65280,E3,Sample 51,,E3,,
411,TRUE,65280,E4,Sample 52,,E4,,
411,TRUE,65280,E5,Sample 53,,E5,,
411,TRUE,65280,E6,Sample 54,,E6,,
411,TRUE,65280,E7,Sample 55,,E7,,
411,TRUE,65280,E8,Sample 56,,E8,,
411,TRUE,65280,E9,Sample 57,,E9,,
411,TRUE,65280,E10,Sample 58,,E10,,
411,TRUE,65280,E11,Sample 59,,E11,,
411,TRUE,65280,E12,Sample 60,,E12,,
411,TRUE,255,F1,Sample 61,40,F1,84.31,
411,TRUE,65280,F2,Sample 62,,F2,,
411,TRUE,65280,F3,Sample 63,,F3,,
411,TRUE,65280,F4,Sample 64,,F4,,
411,TRUE,65280,F5,Sample 65,,F5,,
411,TRUE,65280,F6,Sample 66,,F6,,
411,TRUE,65280,F7,Sample 67,,F7,,
411,TRUE,65280,F8,Sample 68,,F8,,
411,TRUE,65280,F9,Sample 69,,F9,,
411,TRUE,65280,F10,Sample 70,,F10,,
411,TRUE,65280,F11,Sample 71,,F11,,
411,TRUE,65280,F12,Sample 72,,F12,,
411,TRUE,65280,G1,Sample 73,,G1,,
411,TRUE,65280,G2,Sample 74,,G2,,
411,TRUE,65280,G3,Sample 75,,G3,,
411,TRUE,65280,G4,Sample 76,,G4,,
411,TRUE,65280,G5,Sample 77,,G5,,
411,TRUE,65280,G6,Sample 78,,G6,,
411,TRUE,65280,G7,Sample 79,,G7,,
411,TRUE,65280,G8,Sample 80,,G8,,
411,TRUE,65280,G9,Sample 81,,G9,,
411,TRUE,65280,G10,Sample 82,,G10,,
411,TRUE,65280,G11,Sample 83,,G11,,
411,TRUE,65280,G12,Sample 84,,G12,,
411,TRUE,65280,H1,Sample 85,,H1,,
411,TRUE,65280,H2,Sample 86,,H2,,
411,TRUE,65280,H3,Sample 87,,H3,,
411,TRUE,65280,H4,Sample 88,,H4,,
411,TRUE,65280,H5,Sample 89,,H5,,
411,TRUE,65280,H6,Sample 90,,H6,,
411,TRUE,65280,H7,Sample 91,,H7,,
411,TRUE,65280,H8,Sample 92,,H8,,
411,TRUE,65280,H9,Sample 93,,H9,,
411,TRUE,65280,H10,Sample 94,,H10,,
411,TRUE,65280,H11,Sample 95,,H11,,
411,TRUE,65280,H12,Sample 96,,H12,,
423,TRUE,255,A1,Sample 1,24.27,A1,82.12,
423,TRUE,65280,A2,Sample 2,,A2,,
423,TRUE,65280,A3,Sample 3,,A3,,
423,TRUE,65280,A4,Sample 4,,A4,,
423,TRUE,65280,A5,Sample 5,,A5,75.03,
423,TRUE,65280,A6,Sample 6,,A6,,
423,TRUE,65280,A7,Sample 7,,A7,,
423,TRUE,255,A8,Sample 8,40,A8,78.87,
423,TRUE,255,A9,Sample 9,36.58,A9,78.68,
423,TRUE,16711680,A10,Sample 10,40,A10,78.56,
423,TRUE,65280,A11,Sample 11,,A11,,
423,TRUE,65280,A12,Sample 12,,A12,,
423,TRUE,255,B1,Sample 13,27.5,B1,81.84,
423,TRUE,65280,B2,Sample 14,,B2,,
423,TRUE,65280,B3,Sample 15,,B3,,
423,TRUE,255,B4,Sample 16,40,B4,81.9,
423,TRUE,255,B5,Sample 17,37.04,B5,85.36,
423,TRUE,65280,B6,Sample 18,,B6,,
423,TRUE,65280,B7,Sample 19,,B7,,
423,TRUE,255,B8,Sample 20,38.92,B8,81.44,
423,TRUE,255,B9,Sample 21,38.62,B9,81.5,
423,TRUE,65280,B10,Sample 22,,B10,,
423,TRUE,255,B11,Sample 23,40,B11,78.55,
423,TRUE,65280,B12,Sample 24,,B12,,
423,TRUE,255,C1,Sample 25,30.89,C1,81.72,
423,TRUE,65280,C2,Sample 26,,C2,,
423,TRUE,65280,C3,Sample 27,,C3,,
423,TRUE,65280,C4,Sample 28,,C4,,
423,TRUE,65280,C5,Sample 29,,C5,84.01,93.35
423,TRUE,65280,C6,Sample 30,,C6,,
423,TRUE,255,C7,Sample 31,40,C7,77.11,
423,TRUE,255,C8,Sample 32,29.47,C8,81.81,
423,TRUE,255,C9,Sample 33,29.56,C9,81.93,
423,TRUE,65280,C10,Sample 34,,C10,,
423,TRUE,65280,C11,Sample 35,,C11,,
423,TRUE,65280,C12,Sample 36,,C12,,
423,TRUE,255,D1,Sample 37,34.89,D1,81.78,
423,TRUE,255,D2,Sample 38,31.35,D2,81.57,
423,TRUE,255,D3,Sample 39,31.28,D3,81.5,
423,TRUE,255,D4,Sample 40,40,D4,77.02,
423,TRUE,255,D5,Sample 41,37.68,D5,77.57,
423,TRUE,65280,D6,Sample 42,,D6,,
423,TRUE,65280,D7,Sample 43,,D7,,
423,TRUE,65280,D8,Sample 44,,D8,,
423,TRUE,65280,D9,Sample 45,,D9,,
423,TRUE,65280,D10,Sample 46,,D10,,
423,TRUE,65280,D11,Sample 47,,D11,,
423,TRUE,65280,D12,Sample 48,,D12,,
423,TRUE,65280,E1,Sample 49,,E1,,
423,TRUE,65280,E2,Sample 50,,E2,,
423,TRUE,65280,E3,Sample 51,,E3,,
423,TRUE,65280,E4,Sample 52,,E4,78.66,
423,TRUE,255,E5,Sample 53,40,E5,78.77,
423,TRUE,255,E6,Sample 54,36.76,E6,80.35,
423,TRUE,255,E7,Sample 55,35.62,E7,77.9,
423,TRUE,65280,E8,Sample 56,,E8,,
423,TRUE,65280,E9,Sample 57,,E9,,
423,TRUE,65280,E10,Sample 58,,E10,,
423,TRUE,65280,E11,Sample 59,,E11,,
423,TRUE,65280,E12,Sample 60,,E12,,
423,TRUE,65280,F1,Sample 61,,F1,,
423,TRUE,65280,F2,Sample 62,,F2,,
423,TRUE,65280,F3,Sample 63,,F3,,
423,TRUE,65280,F4,Sample 64,,F4,,
423,TRUE,65280,F5,Sample 65,,F5,,
423,TRUE,16711680,F6,Sample 66,40,F6,76.94,
423,TRUE,65280,F7,Sample 67,,F7,,
423,TRUE,65280,F8,Sample 68,,F8,,
423,TRUE,255,F9,Sample 69,36.43,F9,82.07,
423,TRUE,65280,F10,Sample 70,,F10,,
423,TRUE,65280,F11,Sample 71,,F11,,
423,TRUE,65280,F12,Sample 72,,F12,,
423,TRUE,65280,G1,Sample 73,,G1,,
423,TRUE,65280,G2,Sample 74,,G2,,
423,TRUE,65280,G3,Sample 75,,G3,,
423,TRUE,255,G4,Sample 76,40,G4,77.63,84.71
423,TRUE,255,G5,Sample 77,34.78,G5,83.15,
423,TRUE,65280,G6,Sample 78,,G6,,
423,TRUE,255,G7,Sample 79,36.13,G7,79.5,
423,TRUE,255,G8,Sample 80,40,G8,81.92,85.2
423,TRUE,65280,G9,Sample 81,,G9,,
423,TRUE,16711680,G10,Sample 82,22.55,G10,,
423,TRUE,16711680,G11,Sample 83,17.81,G11,,
423,TRUE,65280,G12,Sample 84,,G12,,
423,TRUE,255,H1,Sample 85,36.66,H1,,
423,TRUE,255,H2,Sample 86,34.14,H2,77.62,
423,TRUE,255,H3,Sample 87,36.86,H3,81.01,
423,TRUE,255,H4,Sample 88,35.72,H4,77.46,
423,TRUE,65280,H5,Sample 89,,H5,,
423,TRUE,65280,H6,Sample 90,,H6,,
423,TRUE,255,H7,Sample 91,34.65,H7,79.49,
423,TRUE,16711680,H8,Sample 92,40,H8,75.98,
423,TRUE,65280,H9,Sample 93,,H9,,
423,TRUE,65280,H10,Sample 94,,H10,,
423,TRUE,65280,H11,Sample 95,,H11,,
423,TRUE,65280,H12,Sample 96,,H12,,
517,TRUE,255,A1,Sample 1,24.33,A1,82.07,
517,TRUE,65280,A2,Sample 2,,A2,,
517,TRUE,255,A3,Sample 3,34.31,A3,81.69,
517,TRUE,255,A4,Sample 4,35.92,A4,85.2,
517,TRUE,65280,A5,Sample 5,,A5,,
517,TRUE,65280,A6,Sample 6,,A6,,
517,TRUE,65280,A7,Sample 7,,A7,,
517,TRUE,255,A8,Sample 8,17.15,A8,,
517,TRUE,255,A9,Sample 9,21.66,A9,,
517,TRUE,255,A10,Sample 10,30.13,A10,,
517,TRUE,65280,A11,Sample 11,,A11,,
517,TRUE,255,A12,Sample 12,37.06,A12,83.71,
517,TRUE,255,B1,Sample 13,27.57,B1,81.98,
517,TRUE,65280,B2,Sample 14,,B2,,
517,TRUE,255,B3,Sample 15,34.7,B3,81.84,
517,TRUE,255,B4,Sample 16,35.91,B4,78.26,
517,TRUE,255,B5,Sample 17,39.47,B5,77.84,
517,TRUE,65280,B6,Sample 18,,B6,,
517,TRUE,65280,B7,Sample 19,,B7,,
517,TRUE,255,B8,Sample 20,35.44,B8,,
517,TRUE,255,B9,Sample 21,25.92,B9,,
517,TRUE,255,B10,Sample 22,22.75,B10,,
517,TRUE,65280,B11,Sample 23,,B11,,
517,TRUE,65280,B12,Sample 24,,B12,,
517,TRUE,255,C1,Sample 25,30.92,C1,81.81,
517,TRUE,255,C2,Sample 26,40,C2,77.94,
517,TRUE,65280,C3,Sample 27,,C3,,
517,TRUE,65280,C4,Sample 28,,C4,,
517,TRUE,65280,C5,Sample 29,,C5,,
517,TRUE,65280,C6,Sample 30,,C6,,
517,TRUE,65280,C7,Sample 31,,C7,83.61,93.5
517,TRUE,255,C8,Sample 32,26.15,C8,,
517,TRUE,255,C9,Sample 33,31.01,C9,,
517,TRUE,255,C10,Sample 34,24.64,C10,,
517,TRUE,255,C11,Sample 35,5,C11,,
517,TRUE,255,C12,Sample 36,35.71,C12,,
517,TRUE,255,D1,Sample 37,34.34,D1,82,
517,TRUE,65280,D2,Sample 38,,D2,,
517,TRUE,65280,D3,Sample 39,,D3,,
517,TRUE,65280,D4,Sample 40,,D4,,
517,TRUE,255,D5,Sample 41,36.94,D5,79.24,82.96
517,TRUE,65280,D6,Sample 42,,D6,78.13,
517,TRUE,65280,D7,Sample 43,,D7,,
517,TRUE,255,D8,Sample 44,16.34,D8,,
517,TRUE,255,D9,Sample 45,14.33,D9,,
517,TRUE,65280,D10,Sample 46,,D10,,
517,TRUE,65280,D11,Sample 47,,D11,,
517,TRUE,65280,D12,Sample 48,,D12,,
517,TRUE,65280,E1,Sample 49,,E1,,
517,TRUE,65280,E2,Sample 50,,E2,78.8,
517,TRUE,65280,E3,Sample 51,,E3,,
517,TRUE,65280,E4,Sample 52,,E4,,
517,TRUE,255,E5,Sample 53,39.21,E5,81.11,
517,TRUE,255,E6,Sample 54,18.75,E6,,
517,TRUE,16711680,E7,Sample 55,15.78,E7,,
517,TRUE,65280,E8,Sample 56,,E8,,
517,TRUE,65280,E9,Sample 57,,E9,,
517,TRUE,65280,E10,Sample 58,,E10,,
517,TRUE,65280,E11,Sample 59,,E11,,
517,TRUE,65280,E12,Sample 60,,E12,,
517,TRUE,65280,F1,Sample 61,,F1,,
517,TRUE,255,F2,Sample 62,32.81,F2,79.03,85.12
517,TRUE,255,F3,Sample 63,36.67,F3,81.69,
517,TRUE,65280,F4,Sample 64,,F4,,
517,TRUE,255,F5,Sample 65,36.74,F5,78.63,85.06
517,TRUE,65280,F6,Sample 66,,F6,,
517,TRUE,65280,F7,Sample 67,,F7,,
517,TRUE,255,F8,Sample 68,23.42,F8,,
517,TRUE,65280,F9,Sample 69,,F9,,
517,TRUE,65280,F10,Sample 70,,F10,,
517,TRUE,65280,F11,Sample 71,,F11,,
517,TRUE,65280,F12,Sample 72,,F12,,
517,TRUE,65280,G1,Sample 73,,G1,,
517,TRUE,255,G2,Sample 74,40,G2,87.11,
517,TRUE,65280,G3,Sample 75,,G3,,
517,TRUE,255,G4,Sample 76,40,G4,78.39,82.67
517,TRUE,16711680,G5,Sample 77,40,G5,78.52,
517,TRUE,65280,G6,Sample 78,,G6,,
517,TRUE,65280,G7,Sample 79,,G7,,
517,TRUE,65280,G8,Sample 80,,G8,,
517,TRUE,65280,G9,Sample 81,,G9,,
517,TRUE,255,G10,Sample 82,15.9,G10,,
517,TRUE,255,G11,Sample 83,18.06,G11,,
517,TRUE,65280,G12,Sample 84,,G12,,
517,TRUE,65280,H1,Sample 85,,H1,,
517,TRUE,65280,H2,Sample 86,,H2,77.49,
517,TRUE,65280,H3,Sample 87,,H3,,
517,TRUE,255,H4,Sample 88,36.77,H4,80.44,
517,TRUE,65280,H5,Sample 89,,H5,,
517,TRUE,65280,H6,Sample 90,,H6,,
517,TRUE,65280,H7,Sample 91,,H7,,
517,TRUE,65280,H8,Sample 92,,H8,,
517,TRUE,65280,H9,Sample 93,,H9,,
517,TRUE,65280,H10,Sample 94,,H10,,
517,TRUE,255,H11,Sample 95,20.64,H11,,
517,TRUE,65280,H12,Sample 96,,H12,,
522,TRUE,65280,A1,Sample 1,,A1,,
522,TRUE,65280,A2,Sample 2,,A2,,
522,TRUE,16711680,A3,Sample 3,40,A3,,
522,TRUE,65280,A4,Sample 4,,A4,,
522,TRUE,65280,A5,Sample 5,,A5,,
522,TRUE,255,A6,Sample 6,38.12,A6,84.85,
522,TRUE,255,A7,Sample 7,40,A7,81.56,
522,TRUE,255,A8,Sample 8,34.36,A8,79.25,
522,TRUE,65280,A9,Sample 9,,A9,,
522,TRUE,255,A10,Sample 10,40,A10,82.44,
522,TRUE,65280,A11,Sample 11,,A11,,
522,TRUE,255,A12,Sample 12,23.26,A12,82.37,
522,TRUE,65280,B1,Sample 13,,B1,,
522,TRUE,65280,B2,Sample 14,,B2,,
522,TRUE,255,B3,Sample 15,37.66,B3,78.21,
522,TRUE,255,B4,Sample 16,34.25,B4,80.52,85.71
522,TRUE,255,B5,Sample 17,40,B5,80.72,85.25
522,TRUE,255,B6,Sample 18,37.28,B6,85.88,
522,TRUE,65280,B7,Sample 19,,B7,,
522,TRUE,65280,B8,Sample 20,,B8,,
522,TRUE,255,B9,Sample 21,40,B9,78.33,
522,TRUE,65280,B10,Sample 22,,B10,,
522,TRUE,65280,B11,Sample 23,,B11,,
522,TRUE,255,B12,Sample 24,26.57,B12,82.03,
522,TRUE,16711680,C1,Sample 25,40,C1,78.6,
522,TRUE,65280,C2,Sample 26,,C2,,
522,TRUE,65280,C3,Sample 27,,C3,,
522,TRUE,65280,C4,Sample 28,,C4,,
522,TRUE,255,C5,Sample 29,40,C5,78.61,
522,TRUE,65280,C6,Sample 30,,C6,,
522,TRUE,65280,C7,Sample 31,,C7,,
522,TRUE,65280,C8,Sample 32,,C8,,
522,TRUE,65280,C9,Sample 33,,C9,,
522,TRUE,65280,C10,Sample 34,,C10,,
522,TRUE,255,C11,Sample 35,11.44,C11,,
522,TRUE,255,C12,Sample 36,30.13,C12,82.13,
522,TRUE,65280,D1,Sample 37,,D1,,
522,TRUE,255,D2,Sample 38,40,D2,82.01,
522,TRUE,65280,D3,Sample 39,,D3,,
522,TRUE,65280,D4,Sample 40,,D4,,
522,TRUE,65280,D5,Sample 41,,D5,,
522,TRUE,255,D6,Sample 42,40,D6,82.84,
522,TRUE,65280,D7,Sample 43,,D7,,
522,TRUE,65280,D8,Sample 44,,D8,,
522,TRUE,255,D9,Sample 45,40,D9,79.1,
522,TRUE,65280,D10,Sample 46,,D10,,
522,TRUE,255,D11,Sample 47,12.41,D11,,
522,TRUE,255,D12,Sample 48,34.37,D12,82,
522,TRUE,65280,E1,Sample 49,,E1,,
522,TRUE,255,E2,Sample 50,37.07,E2,78.47,
522,TRUE,255,E3,Sample 51,40,E3,80,
522,TRUE,255,E4,Sample 52,37.47,E4,78.31,
522,TRUE,255,E5,Sample 53,36.12,E5,79.52,
522,TRUE,255,E6,Sample 54,34.48,E6,79.46,85.5
522,TRUE,255,E7,Sample 55,40,E7,78.77,
522,TRUE,255,E8,Sample 56,40,E8,78.74,
522,TRUE,65280,E9,Sample 57,,E9,,
522,TRUE,255,E10,Sample 58,40,E10,85.6,
522,TRUE,255,E11,Sample 59,16.9,E11,,
522,TRUE,255,E12,Sample 60,14.72,E12,,
522,TRUE,65280,F1,Sample 61,,F1,,
522,TRUE,255,F2,Sample 62,40,F2,85.3,
522,TRUE,255,F3,Sample 63,34.65,F3,80.94,
522,TRUE,255,F4,Sample 64,37.12,F4,83.06,
522,TRUE,255,F5,Sample 65,40,F5,79.31,
522,TRUE,65280,F6,Sample 66,,F6,,
522,TRUE,65280,F7,Sample 67,,F7,,
522,TRUE,255,F8,Sample 68,40,F8,79.92,
522,TRUE,65280,F9,Sample 69,,F9,,
522,TRUE,65280,F10,Sample 70,,F10,,
522,TRUE,255,F11,Sample 71,22.3,F11,,
522,TRUE,65280,F12,Sample 72,,F12,,
522,TRUE,65280,G1,Sample 73,,G1,,
